Morgan,bicep curls,0,9.5367431640625e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morgan,bicep curls,0,0.16406011581420898,-0.04,0.9,-0.2,227.0,281.0,-80.0,80.96,-201.48,224.48
Morgan,bicep curls,0,0.24254393577575684,-0.05,0.9,-0.22,425.0,-1.0,-443.0,80.04,-199.64,227.24
Morgan,bicep curls,0,0.3748660087585449,-0.08,0.9,-0.24,1485.0,-190.0,-1723.0,88.32,-202.4,229.08
Morgan,bicep curls,0,0.5416550636291504,-0.1,0.89,-0.25,2026.0,-799.0,-2590.0,103.96,-198.72,240.12
Morgan,bicep curls,0,0.6424081325531006,-0.24,0.9,-0.31,4959.0,-3937.0,-8597.0,149.04,-194.12,262.2
Morgan,bicep curls,0,0.7414491176605225,-0.39,0.83,-0.35,5927.0,-2945.0,-12813.0,248.4,-167.44,294.4
Morgan,bicep curls,0,0.8651399612426758,-0.54,0.72,-0.36,5486.0,-2680.0,-16102.0,356.04,-103.04,322.92
Morgan,bicep curls,0,0.9799830913543701,-0.66,0.5,-0.36,3788.0,-4321.0,-17296.0,460.92,2.76,325.68
Morgan,bicep curls,0,1.1413459777832031,-0.73,0.22,-0.32,1299.0,-4318.0,-17361.0,534.52,129.72,300.84
Morgan,bicep curls,0,1.2418580055236816,-0.74,-0.06,-0.25,-936.0,-7310.0,-16147.0,566.72,260.36,260.36
Morgan,bicep curls,0,1.3625860214233398,-0.63,-0.32,-0.2,-2476.0,-5597.0,-14369.0,569.48,320.16,238.28
Morgan,bicep curls,0,1.507789134979248,-0.49,-0.51,-0.16,-1883.0,-3735.0,-7666.0,547.4,411.24,200.56
Morgan,bicep curls,0,1.6411421298980713,-0.39,-0.61,-0.1,2517.0,-380.0,1729.0,539.12,454.48,180.32
Morgan,bicep curls,0,1.7636101245880127,-0.4,-0.64,-0.06,3753.0,3920.0,12693.0,558.44,429.64,177.56
Morgan,bicep curls,0,1.942439079284668,-0.44,-0.54,-0.07,4326.0,2852.0,18633.0,599.84,322.0,190.44
Morgan,bicep curls,0,2.0420029163360596,-0.65,-0.3,-0.01,3795.0,347.0,22070.0,621.0,154.56,202.4
Morgan,bicep curls,0,2.1420581340789795,-0.82,0.09,0.01,5591.0,-607.0,21165.0,584.2,-11.96,212.52
Morgan,bicep curls,0,2.251404047012329,-0.77,0.43,-0.02,2207.0,4483.0,18942.0,474.72,-125.12,248.4
Morgan,bicep curls,0,2.397503137588501,-0.68,0.66,-0.1,1256.0,-471.0,15692.0,406.64,-160.08,259.44
Morgan,bicep curls,0,2.542297124862671,-0.53,0.79,-0.15,689.0,3219.0,9378.0,297.16,-191.36,273.24
Morgan,bicep curls,0,2.641206979751587,-0.45,0.83,-0.17,463.0,102.0,402.0,228.16,-190.44,275.08
Morgan,bicep curls,0,2.742295026779175,-0.43,0.86,-0.17,925.0,-2766.0,-7678.0,243.8,-188.6,278.76
Morgan,bicep curls,0,2.8576319217681885,-0.54,0.9,-0.14,95.0,-6071.0,-19641.0,364.32,-165.6,273.24
Morgan,bicep curls,0,2.9975860118865967,-0.72,0.78,-0.08,-2002.0,-4016.0,-23552.0,529.0,-64.4,241.04
Morgan,bicep curls,0,3.142561912536621,-0.82,0.49,-0.01,-4056.0,-1984.0,-23532.0,615.48,106.72,207.92
Morgan,bicep curls,0,3.251483917236328,-0.76,0.16,0.02,-5829.0,-836.0,-20306.0,610.88,280.6,189.52
Morgan,bicep curls,0,3.370073080062866,-0.62,-0.15,0.01,-4568.0,47.0,-14209.0,587.88,353.28,185.84
Morgan,bicep curls,0,3.542328119277954,-0.44,-0.44,-0.04,-2284.0,-2331.0,-5143.0,533.6,442.52,190.44
